CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
1014,INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,Privada sem fins lucrativos,Faculdade,Sul
5369,FACULDADES INTEGRADAS ASMEC,ASMEC,Privada com fins lucrativos,Faculdade,Sudeste
1225,CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,Privada com fins lucrativos,Centro Universitário,Sudeste
828,FACULDADE DE SÃO LOURENÇO,FASAMA,Privada com fins lucrativos,Faculdade,Sudeste
4185,FACULDADE PERUIBE,FPBE,Privada com fins lucrativos,Faculdade,Sudeste
1554,CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA,UNIVR,Privada com fins lucrativos,Centro Universitário,Sudeste
3823,INSTITUTO DE EDUCAÇÃO SUPERIOR DE POUSO ALEGRE,,Privada com fins lucrativos,Faculdade,Sudeste
1019,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,FACTU,Privada sem fins lucrativos,Faculdade,Sudeste
1170,FACULDADE METROPOLITANA DE CAMAÇARI,FAMEC,Privada sem fins lucrativos,Faculdade,Nordeste
17116,Faculdade de Ciências de Goiana,FCG,Privada sem fins lucrativos,Faculdade,Nordeste
1021,FACULDADE DE CIÊNCIAS DE TIMBAÚBA,FACET,Privada sem fins lucrativos,Faculdade,Nordeste
1143,Faculdade de Ciências de Timbaúba,FACET,Privada sem fins lucrativos,Faculdade,Nordeste
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Pública Estadual,Universidade,Centro-Oeste
1049,INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,Privada sem fins lucrativos,Faculdade,Norte
1051,FACULDADE DA SEUNE,SEUNE,Privada com fins lucrativos,Faculdade,Nordeste
3754,FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GERAIS,FADMINAS,Privada sem fins lucrativos,Faculdade,Sudeste
1123,INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE SALVADOR,IESUS,Privada com fins lucrativos,Faculdade,Nordeste
1055,Centro Universitário Maurício de Nassau de Salvador,Uninassau Salvador,Privada sem fins lucrativos,Centro Universitário,Nordeste
1060,CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,IESB,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
1428,INSTITUTO DE ENSINO SUPERIOR PLANALTO,IESPLAN,Privada com fins lucrativos,Faculdade,Centro-Oeste
1067,FACULDADE DE JUSSARA,FAJ,Privada com fins lucrativos,Faculdade,Centro-Oeste
1068,FACULDADE ALDETE MARIA ALVES,FAMA,Privada sem fins lucrativos,Faculdade,Sudeste
1071,INSTITUTO DE ENSINO SUPERIOR DA FUNLEC,IESF,Privada sem fins lucrativos,Faculdade,Centro-Oeste
3805,FACULDADE DE TECNOLOGIA DA PARAÍBA,FATECPB,Privada com fins lucrativos,Faculdade,Nordeste
1075,CENTRO UNIVERSITÁRIO - UNIESP,UNIESP,Privada com fins lucrativos,Centro Universitário,Nordeste
1076,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE CAJAZEIRAS",FAFIC,Privada sem fins lucrativos,Faculdade,Nordeste
1079,FACULDADE MARINGÁ,CESPAR,Privada sem fins lucrativos,Faculdade,Sul
1085,FACULDADE METODISTA CENTENÁRIO,FMC,Privada sem fins lucrativos,Faculdade,Sul
19172,Faculdades Integradas Aparício Carvalho Vilhena,FIMCAVILHENA,Privada com fins lucrativos,Faculdade,Norte
1087,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,,Privada sem fins lucrativos,Centro Universitário,Norte
1090,FACULDADE SÃO LUÍS DE FRANÇA,FSLF,Privada com fins lucrativos,Faculdade,Nordeste
1092,FACULDADES INTEGRADAS DE BAURU,FIB,Privada com fins lucrativos,Faculdade,Sudeste
1174,FACULDADE DE SABARÁ,SOECS,Privada sem fins lucrativos,Faculdade,Sudeste
3692,FACULDADE DE TECNOLOGIA IPEP DE CAMPINAS,FATEC CAMPINAS,Privada sem fins lucrativos,Faculdade,Sudeste
1385,FACULDADES INTEGRADAS IPEP,FIPEP,Privada sem fins lucrativos,Faculdade,Sudeste
15508,Centro de Ensino Unificado do Piauí,CEUPI,Privada sem fins lucrativos,Faculdade,Nordeste
22131,CENTRO DE ENSINO SUPERIOR DO TOCANTINS,,Privada sem fins lucrativos,Faculdade,Norte
4450,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,UNIFAMAZ,Privada sem fins lucrativos,Centro Universitário,Norte
21892,CENTRO DE ENSINO SUPERIOR DE PALMAS,CESUP,Privada sem fins lucrativos,Faculdade,Norte
1113,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,Privada sem fins lucrativos,Centro Universitário,Centro-Oeste
1115,FACULDADE SANTA TEREZINHA,CEST,Privada sem fins lucrativos,Faculdade,Nordeste
738,CENTRO UNIVERSITÁRIO TERESA D'ÁVILA,FATEA,Privada sem fins lucrativos,Centro Universitário,Sudeste
545,FACULDADE DE DESENVOLVIMENTO DAS CIÊNCIAS E HUMANIDADES,FADECH,Privada sem fins lucrativos,Faculdade,Sudeste
4938,FACULDADE CLARETIANA DE TEOLOGIA,,Privada sem fins lucrativos,Faculdade,Sul
135,CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,Privada sem fins lucrativos,Centro Universitário,Sudeste
1854,CLARETIANO - CENTRO UNIVERSITÁRIO,,Privada sem fins lucrativos,Centro Universitário,Sudeste
1131,CENTRO UNIVERSITÁRIO SANTO AGOSTINHO,UNIFSA,Privada com fins lucrativos,Centro Universitário,Nordeste
1136,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE IGARASSU,FACIG,Privada sem fins lucrativos,Faculdade,Nordeste
1360,iCEV - Instituto de Ensino Superior,,Privada com fins lucrativos,Faculdade,Nordeste
1141,CENTRO UNIVERSITÁRIO GAMA E SOUZA,,Privada sem fins lucrativos,Centro Universitário,Sudeste
1144,FACULDADE DE CIÊNCIAS HUMANAS,IMENSU,Privada sem fins lucrativos,Faculdade,Sudeste
1379,FACULDADES INTEGRADAS SÃO PEDRO,FAESA,Privada sem fins lucrativos,Faculdade,Sudeste
1151,FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE,FANESE,Privada com fins lucrativos,Faculdade,Nordeste
1157,ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS,ESFA,Privada sem fins lucrativos,Faculdade,Sudeste
1159,CENTRO DE ENSINO SUPERIOR DE VITÓRIA,CESV,Privada com fins lucrativos,Faculdade,Sudeste
1160,FACULDADE CAMBURY,CAMBURY,Privada com fins lucrativos,Faculdade,Centro-Oeste
14609,FACULDADE DE TECNOLOGIA SENAI CONDE JOSÉ VICENTE DE AZEVEDO,,Privada sem fins lucrativos,Faculdade,Sudeste
4817,FACULDADE DE TECNOLOGIA SENAI ANCHIETA,,Privada sem fins lucrativos,Faculdade,Sudeste
4814,FACULDADE DE TECNOLOGIA SENAI FELIX GUISARD,,Privada sem fins lucrativos,Faculdade,Sudeste
4815,FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO,,Privada sem fins lucrativos,Faculdade,Sudeste
1150,Faculdade de Tecnologia Senai Theobaldo de Nigris,SP SENAI,Privada sem fins lucrativos,Faculdade,Sudeste
4819,FACULDADE DE TECNOLOGIA SENAI MARIANO FERRAZ,,Privada sem fins lucrativos,Faculdade,Sudeste
1286,Faculdade de Tecnologia Senai Mario Amato,SENAI,Privada sem fins lucrativos,Faculdade,Sudeste
17516,Faculdade de Tecnologia do SENAI Horácio Augusto da Silveira,,Privada sem fins lucrativos,Faculdade,Sudeste
15502,Faculdade de Tecnologia SENAI Suiço-Brasileira Paulo Ernesto Tolle,,Privada sem fins lucrativos,Faculdade,Sudeste
1195,FACULDADE SENAI DE TECNOLOGIA MECATRÔNICA,SENAI,Privada sem fins lucrativos,Faculdade,Sudeste
1526,FACULDADE DE TECNOLOGIA SENAI ANTOINE SKAF,SENAI,Privada sem fins lucrativos,Faculdade,Sudeste
4820,FACULDADE DE TECNOLOGIA SENAI ANTÔNIO ADOLPHO LOBBE,,Privada sem fins lucrativos,Faculdade,Sudeste
17691,FACULDADE DE TECNOLOGIA SENAI GASPAR RICARDO JUNIOR,,Privada sem fins lucrativos,Faculdade,Sudeste
17690,FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE,,Privada sem fins lucrativos,Faculdade,Sudeste
15501,Faculdade de Tecnologia SENAI Roberto Simonsen,,Privada sem fins lucrativos,Faculdade,Sudeste
1175,FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS,ESTÁCIO FARGS,Privada sem fins lucrativos,Faculdade,Sul
1185,CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,Privada com fins lucrativos,Centro Universitário,Nordeste
370,FACULDADE PAULISTA DE ARTES,FPA,Privada sem fins lucrativos,Faculdade,Sudeste
1191,INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,IESF,Privada sem fins lucrativos,Faculdade,Nordeste
1192,FACULDADE DE CIÊNCIAS DA SAÚDE DE SÃO PAULO,FACIS,Privada com fins lucrativos,Faculdade,Sudeste
1198,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,Privada com fins lucrativos,Faculdade,Sul
1202,FACULDADE SANTA RITA,FASAR,Privada com fins lucrativos,Faculdade,Sudeste
1205,FACULDADE EDUCACIONAL DA LAPA,FAEL,Privada com fins lucrativos,Faculdade,Sul
1208,FAL ESTÁCIO - FACULDADE ESTÁCIO DE NATAL,,Privada sem fins lucrativos,Faculdade,Nordeste
4157,FACULDADE METROPOLITANA DE RIO DO SUL,FAMESUL,Privada com fins lucrativos,Faculdade,Sul
2175,CENTRO UNIVERSITÁRIO DANTE,,Privada com fins lucrativos,Centro Universitário,Sul
1472,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Privada com fins lucrativos,Centro Universitário,Sul
2755,FACULDADE DO VALE DO ITAJAÍ MIRIM,FAVIM,Privada com fins lucrativos,Faculdade,Sul
16914,Faculdade Leonardo da Vinci - Santa Catarina,,Privada com fins lucrativos,Faculdade,Sul
1958,FACULDADE DE TECNOLOGIA SENAI BLUMENAU,CET BLUMENAU,Privada sem fins lucrativos,Faculdade,Sul
1957,FACULDADE DE TECNOLOGIA SENAI JOINVILLE,SENAI DE JOINVILLE,Privada sem fins lucrativos,Faculdade,Sul
1763,FACULDADE DE TECNOLOGIA SENAI CHAPECÓ,SENAI,Privada sem fins lucrativos,Faculdade,Sul
3155,FACULDADE DE TECNOLOGIA SENAI JARAGUÁ DO SUL,FATEC,Privada sem fins lucrativos,Faculdade,Sul
3159,FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS,SENAI -SC - CTAI,Privada sem fins lucrativos,Faculdade,Sul
1219,INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,Privada com fins lucrativos,Faculdade,Sudeste
1227,CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS,,Privada sem fins lucrativos,Centro Universitário,Nordeste
1237,FACULDADE NOSSA SENHORA APARECIDA,FANAP,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1239,FACULDADE PADRÃO,PADRAO,Privada com fins lucrativos,Faculdade,Centro-Oeste
2073,INSTITUTO SUPERIOR DE EDUCAÇÃO PADRÃO,ISE-PADRAO,Privada com fins lucrativos,Faculdade,Centro-Oeste
2442,FACULDADE DE CIÊNCIAS BIOMÉDICAS DO ESPÍRITO SANTO,PIO XII - BIO,Privada sem fins lucrativos,Faculdade,Sudeste
2351,FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS,PIO XII - DIR,Privada sem fins lucrativos,Faculdade,Sudeste
1240,FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,PIO XII,Privada sem fins lucrativos,Faculdade,Sudeste
23318,FACULDADE BRASILEIRA DE CACHOEIRO,,Privada com fins lucrativos,Faculdade,Sudeste
1244,FACULDADE BRASILEIRA,MULTIVIX VITÓRIA,Privada com fins lucrativos,Faculdade,Sudeste
1245,Faculdade de Castelo - Multivix Castelo,Multivix Castelo,Privada com fins lucrativos,Faculdade,Sudeste
1970,FACULDADE DO ESPÍRITO SANTO,UNES,Privada com fins lucrativos,Faculdade,Sudeste
1248,FACULDADE DE PEDAGOGIA,ANAEC,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1249,FACULDADE DE EDUCAÇÃO DE COSTA RICA,FECRA,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1253,FACULDADE METODISTA GRANBERY,FMG,Privada sem fins lucrativos,Faculdade,Sudeste
1256,FACULDADE DOM BOSCO,DOM BOSCO,Privada sem fins lucrativos,Faculdade,Sul
5403,CENTRO UNIVERSITÁRIO OPET,Uniopet,Privada com fins lucrativos,Centro Universitário,Sul
1263,FACULDADE BEZERRA DE ARAÚJO,FABA,Privada com fins lucrativos,Faculdade,Sudeste
1264,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,UNI-RN,Privada sem fins lucrativos,Centro Universitário,Nordeste
1267,INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,IESGF,Privada com fins lucrativos,Faculdade,Sul
2174,FACULDADE DE SANTA CATARINA,FASC,Privada com fins lucrativos,Faculdade,Sul
1270,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,Privada com fins lucrativos,Centro Universitário,Sudeste
17803,Faculdade Estácio de Rio Preto,Estácio Rio Preto,Privada com fins lucrativos,Faculdade,Sudeste
1273,Centro Universitário Campo Limpo Paulista,UNIFACCAMP,Privada com fins lucrativos,Centro Universitário,Sudeste
1276,INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,I.T.E.S.,Privada com fins lucrativos,Faculdade,Sudeste
1279,FACULDADE DE ITÁPOLIS - FACITA,FACITA,Privada com fins lucrativos,Faculdade,Sudeste
1281,FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,FAIT,Privada com fins lucrativos,Faculdade,Sudeste
1294,Centro Universitário das Américas,CAM,Privada com fins lucrativos,Centro Universitário,Sudeste
4064,FACULDADE DE TECNOLOGIA FAMA,FAMA,Privada sem fins lucrativos,Faculdade,Nordeste
1296,ESCOLA SUPERIOR DE MARKETING,ESM,Privada sem fins lucrativos,Faculdade,Nordeste
1300,INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH,ITES,Privada sem fins lucrativos,Faculdade,Sudeste
1302,FACULDADE BATISTA BRASILEIRA,FBB,Privada sem fins lucrativos,Faculdade,Nordeste
19284,FACULDADE BATISTA BRASILEIRA DO RECÔNCAVO,FBBR,Privada sem fins lucrativos,Faculdade,Nordeste
1310,FACULDADE DE AMERICANA,FAM,Privada sem fins lucrativos,Faculdade,Sudeste
14878,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-,TEN,Privada com fins lucrativos,Faculdade,Sudeste
13811,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,,Privada com fins lucrativos,Faculdade,Sudeste
1311,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,Privada com fins lucrativos,Faculdade,Sudeste
1317,Centro Universitário Sudoeste Paulista,UniFSP,Privada com fins lucrativos,Centro Universitário,Sudeste
1318,FACULDADE UNINASSAU VITÓRIA DA CONQUISTA,,Privada com fins lucrativos,Faculdade,Nordeste
13873,FACULDADE FINOM DE PATOS DE MINAS,FINOM,Privada com fins lucrativos,Faculdade,Sudeste
682,FACULDADE DO NOROESTE DE MINAS,FINOM,Privada com fins lucrativos,Faculdade,Sudeste
1319,FACULDADE TECSOMA,FATEC,Privada com fins lucrativos,Faculdade,Sudeste
4043,FACULDADE TECNOLOGIA EDUVALE - AVARÉ,FATEC EDUVALE,Privada sem fins lucrativos,Faculdade,Sudeste
1322,FACULDADE EDUVALE DE AVARÉ,EDUVALE,Privada sem fins lucrativos,Faculdade,Sudeste
1325,FACULDADE DE APUCARANA,FAP,Privada sem fins lucrativos,Faculdade,Sul
1328,FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA,FACOTTUR,Privada sem fins lucrativos,Faculdade,Nordeste
1330,FACULDADE COTEMIG,COTEMIG,Privada com fins lucrativos,Faculdade,Sudeste
2491,INSTITUTO SUPERIOR DE EDUCAÇÃO DO CECAP,ISCECAP,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1333,FACULDADE CECAP DO LAGO NORTE,CECAP,Privada sem fins lucrativos,Faculdade,Centro-Oeste
12625,ESCOLA SUPERIOR DE AVIAÇÃO CIVIL,ESAC,Privada com fins lucrativos,Faculdade,Nordeste
1334,CENTRO UNIVERSITÁRIO FACISA,UNIFACISA,Privada com fins lucrativos,Centro Universitário,Nordeste
5186,INSTITUTO ASSIS GURGACZ,,Privada sem fins lucrativos,Faculdade,Sul
1612,Faculdade Assis Gurgacz,FAG TOLEDO,Privada sem fins lucrativos,Faculdade,Sul
1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Privada sem fins lucrativos,Centro Universitário,Sul
1337,FACULDADE MATER DEI,FMD,Privada com fins lucrativos,Faculdade,Sul
1350,FACULDADE DO VALE DO JAGUARIBE,FVJ,Privada com fins lucrativos,Faculdade,Nordeste
14028,Faculdade UNA de Betim,UNA,Privada com fins lucrativos,Faculdade,Sudeste
4766,FACULDADE UNA DE CONTAGEM,FUNAC,Privada com fins lucrativos,Faculdade,Sudeste
1618,CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU,,Privada com fins lucrativos,Centro Universitário,Sul
22736,Faculdade SOCIESC de Itajaí,SOCIESC,Privada com fins lucrativos,Faculdade,Sul
4045,Centro Universitário SOCIESC de Curitiba,UNISOCIESC,Privada sem fins lucrativos,Centro Universitário,Sul
3758,Faculdade SOCIESC,,Privada sem fins lucrativos,Faculdade,Sul
3691,FACULDADE DE TECNOLOGIA TUPY DE SÃO BENTO DO SUL,FTT-SBS,Privada sem fins lucrativos,Faculdade,Sul
3437,Faculdade SOCIESC de Balneário Camboriú,,Privada com fins lucrativos,Faculdade,Sul
19257,Faculdade Una de Divinópolis,Una Divinopolis,Privada com fins lucrativos,Faculdade,Sudeste
21415,FACULDADE UNA DE NOVA SERRANA,UNA,Privada com fins lucrativos,Faculdade,Sudeste
302,FACULDADE DIVINÓPOLIS,FACED,Privada com fins lucrativos,Faculdade,Sudeste
1351,CENTRO UNIVERSITÁRIO SOCIESC,,Privada sem fins lucrativos,Centro Universitário,Sul
18454,Faculdade Una de Sete Lagoas,Unaset,Privada com fins lucrativos,Faculdade,Sudeste
19865,Faculdade Una de Pouso Alegre,Una PousoAlegre,Privada com fins lucrativos,Faculdade,Sudeste
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ PETRÓPOLIS,Pública Estadual,Faculdade,Sudeste
5051,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ BJ ITABAPOAN,Pública Estadual,Faculdade,Sudeste
5021,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ ITAPERUNA,Pública Estadual,Faculdade,Sudeste
5018,INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT,ISEPAM,Pública Estadual,Faculdade,Sudeste
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ R DE JANEIRO,Pública Estadual,Faculdade,Sudeste
23713,Faculdade de Educação Tecnológica Barra Mansa,FAETERJ B.MANSA,Pública Estadual,Faculdade,Sudeste
5020,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ S ANT. PÁDUA,Pública Estadual,Faculdade,Sudeste
1357,INSTITUTO SUPERIOR DE EDUCAÇÃO DO RIO DE JANEIRO,ISERJ,Pública Estadual,Faculdade,Sudeste
19588,Faculdade de Educação Tecnológica do Estado do Rio de Janeiro,FAETERJ CAXIAS,Pública Estadual,Faculdade,Sudeste
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,FAETERJ PARACAMBI,Pública Estadual,Faculdade,Sudeste
5052,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FAETERJ TRÊS RIOS,Pública Estadual,Faculdade,Sudeste
1100,Centro Universitário Carlos Drummond de Andrade,UniDrummond,Privada sem fins lucrativos,Centro Universitário,Sudeste
2741,FACULDADE CATÓLICA DOM ORIONE,FACDO,Privada sem fins lucrativos,Faculdade,Norte
1362,CENTRO UNIVERSITÁRIO UBAENSE OZANAM COELHO,,Privada com fins lucrativos,Centro Universitário,Sudeste
1373,FACULDADE CASA BRANCA,FACAB,Privada com fins lucrativos,Faculdade,Sudeste
1375,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1381,Faculdade Martha Falcão Wyden,FMF Wyden,Privada com fins lucrativos,Faculdade,Norte
1780,FACULDADE HORIZONTINA,FAHOR,Privada sem fins lucrativos,Faculdade,Sul
1382,Faculdades EST,EST,Privada sem fins lucrativos,Faculdade,Sul
1383,FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS,FAJOLCA,Privada sem fins lucrativos,Faculdade,Nordeste
1384,FACULDADE SANTA HELENA,FSH,Privada sem fins lucrativos,Faculdade,Nordeste
4211,Faculdade ESAMC São Paulo - ESAMC,ESAMC,Privada com fins lucrativos,Faculdade,Sudeste
1386,FACULDADE ESAMC CAMPINAS,ESAMC,Privada com fins lucrativos,Faculdade,Sudeste
17902,FACULDADE ESAMC JUNDIAÍ,ESAMC,Privada com fins lucrativos,Faculdade,Sudeste
1387,FACULDADE PENTÁGONO - FAPEN,FAPEN,Privada com fins lucrativos,Faculdade,Sudeste
1388,CENTRO UNIVERSITÁRIO SUMARÉ,,Privada com fins lucrativos,Centro Universitário,Sudeste
1395,FACULDADE DE CALDAS NOVAS,UNICALDAS,Privada com fins lucrativos,Faculdade,Centro-Oeste
1396,Centro Universitário Dinâmica das Cataratas,UDC,Privada com fins lucrativos,Centro Universitário,Sul
3193,FACULDADES INTEGRADAS DOS CAMPOS GERAIS,CESCAGE,Privada com fins lucrativos,Faculdade,Sul
1401,FACULDADE ADELMAR ROSADO,FAR,Privada com fins lucrativos,Faculdade,Nordeste
1402,INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,ICSH,Privada com fins lucrativos,Faculdade,Centro-Oeste
1403,FACULDADE DE PIMENTA BUENO,FAP,Privada com fins lucrativos,Faculdade,Norte
1404,FACULDADE DE PIRACANJUBA,FAP,Privada com fins lucrativos,Faculdade,Centro-Oeste
1409,FACULDADE DO CENTRO LESTE,UCL,Privada com fins lucrativos,Faculdade,Sudeste
17828,Faculdade do Centro Leste - Cariacica,UCL,Privada com fins lucrativos,Faculdade,Sudeste
1411,FACULDADE DOIS DE JULHO,F2J,Privada sem fins lucrativos,Faculdade,Nordeste
1413,FACULDADE DE PRIMAVERA,CESPRI,Privada sem fins lucrativos,Faculdade,Sudeste
1414,CENTRO UNIVERSITÁRIO SÃO LUCAS,UniSL,Privada com fins lucrativos,Centro Universitário,Norte
1423,Faculdade Ideal Wyden,Faci Wyden,Privada com fins lucrativos,Faculdade,Norte
1427,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA,FSG,Privada com fins lucrativos,Centro Universitário,Sul
12523,Faculdade da Serra Gaúcha de Bento Gonçalves,,Privada com fins lucrativos,Faculdade,Sul
1429,FACULDADE BATISTA DO RIO DE JANEIRO,FABAT,Privada sem fins lucrativos,Faculdade,Sudeste
1430,CENTRO UNIVERSITÁRIO INGÁ,,Privada sem fins lucrativos,Centro Universitário,Sul
1434,Centro Universitário de Itapira Uniesi,UNIESI,Privada com fins lucrativos,Centro Universitário,Sudeste
1436,ESCOLA SUPERIOR BATISTA DO AMAZONAS,ESBAM,Privada com fins lucrativos,Faculdade,Norte
1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,FACAMP,Privada com fins lucrativos,Faculdade,Sudeste
1438,FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS,FACAMP,Privada com fins lucrativos,Faculdade,Sudeste
1440,INSTITUTO APHONSIANO DE ENSINO SUPERIOR,IAESUP,Privada com fins lucrativos,Faculdade,Centro-Oeste
1441,FACULDADE DE TECNOLOGIA DO PIAUÍ,FATEPI,Privada com fins lucrativos,Faculdade,Nordeste
1841,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE,TOLEDO PRUDENTE,Privada sem fins lucrativos,Centro Universitário,Sudeste
3602,CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL,UNIBRASIL,Privada com fins lucrativos,Centro Universitário,Sul
1459,CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO,UNIFUCAMP,Privada sem fins lucrativos,Centro Universitário,Sudeste
1455,FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,Privada sem fins lucrativos,Faculdade,Nordeste
1454,FACULDADE SALESIANA DO NORDESTE,FASNE,Privada sem fins lucrativos,Faculdade,Nordeste
1468,FACULDADE ESAMC UBERLÂNDIA,ESAMC,Privada com fins lucrativos,Faculdade,Sudeste
1469,FACULDADE CESUSC,,Privada com fins lucrativos,Faculdade,Sul
2632,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,UNESULBAHIA,Privada sem fins lucrativos,Faculdade,Nordeste
1494,CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA,,Privada sem fins lucrativos,Centro Universitário,Sudeste
1752,FACULDADE AUTÔNOMA DE DIREITO,FADISP,Privada com fins lucrativos,Faculdade,Sudeste
1493,CENTRO UNIVERSITÁRIO ALVES FARIA,UNIALFA,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
1491,CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,Privada com fins lucrativos,Centro Universitário,Sul
20406,Faculdade Jaguar Indaiá,FJI,Privada com fins lucrativos,Faculdade,Sudeste
20465,Faculdade de Agronegócios de Holambra,FAAGROH,Privada com fins lucrativos,Faculdade,Sudeste
1490,CENTRO UNIVERSITÁRIO DE JAGUARIÚNA,UniFAJ,Privada com fins lucrativos,Centro Universitário,Sudeste
1488,FACULDADE LUSÓFONA DO RIO DE JANEIRO,FL-RJ,Privada com fins lucrativos,Faculdade,Sudeste
1487,CENTRO UNIVERSITÁRIO UNIDOM - BOSCO,UNIDOM - BOSCO,Privada com fins lucrativos,Centro Universitário,Sul
18719,FACULDADE DE EDUCAÇÃO DE SANTA CATARINA,FAESC,Privada com fins lucrativos,Faculdade,Sul
1500,FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU,FAESI,Privada com fins lucrativos,Faculdade,Sul
1508,Centro Universitário Metropolitano de Maringá,UNIFAMMA,Privada com fins lucrativos,Centro Universitário,Sul
