CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Pública Estadual,Universidade,Norte
40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pública Estadual,Universidade,Nordeste
9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,Universidade,Sul
730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Pública Estadual,Universidade,Sul
18492,Universidade Estadual do Paraná,UNESPAR,Pública Estadual,Universidade,Sul
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Pública Estadual,Universidade,Sul
1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,Pública Estadual,Universidade,Sul
57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública Estadual,Universidade,Sul
43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pública Estadual,Universidade,Sul
1869,CENTRO UNIVERSITÁRIO DE ITAJUBÁ,FEPI,Privada sem fins lucrativos,Centro Universitário,Sudeste
47,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Pública Estadual,Universidade,Centro-Oeste
149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,Pública Estadual,Faculdade,Sudeste
59,FACULDADE DE DIREITO DE FRANCA,FDF,Pública Municipal,Faculdade,Sudeste
1870,FACULDADES INTEGRADAS REGIONAIS DE AVARÉ,FIRA,Pública Municipal,Faculdade,Sudeste
3641,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,UNIFEB,Privada sem fins lucrativos,Centro Universitário,Sudeste
67,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Pública Municipal,Faculdade,Sudeste
68,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,Pública Municipal,Faculdade,Sudeste
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Pública Estadual,Universidade,Nordeste
4356,FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES,FACIP,Especial,Faculdade,Nordeste
72,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,Especial,Faculdade,Nordeste
73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Especial,Faculdade,Nordeste
4858,ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE,ESSA,Especial,Faculdade,Nordeste
76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pública Municipal,Universidade,Sul
78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Pública Municipal,Faculdade,Sudeste
79,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES CATANDUVA,Pública Municipal,Faculdade,Sudeste
80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Privada sem fins lucrativos,Centro Universitário,Sul
81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Privada sem fins lucrativos,Universidade,Sul
82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Privada sem fins lucrativos,Universidade,Sul
1783,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,FACISA,Privada sem fins lucrativos,Faculdade,Sul
83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Privada sem fins lucrativos,Universidade,Sul
84,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ,FAFIMA,Privada sem fins lucrativos,Faculdade,Sudeste
5671,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA,,Privada sem fins lucrativos,Centro Universitário,Sudeste
87,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,Privada sem fins lucrativos,Centro Universitário,Sul
18874,FACULDADE RAIMUNDO MARINHO DE PENEDO,,Privada sem fins lucrativos,Faculdade,Nordeste
5228,FACULDADE RAIMUNDO MARINHO,FRM,Privada sem fins lucrativos,Faculdade,Nordeste
3974,UNIVERSIDADE DE RIO VERDE,FESURV,Pública Municipal,Universidade,Centro-Oeste
94,ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ,ESEFJ,Pública Municipal,Faculdade,Sudeste
93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Pública Municipal,Faculdade,Sudeste
95,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Pública Estadual,Universidade,Nordeste
3972,CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO,CESEP,Privada sem fins lucrativos,Faculdade,Sudeste
3488,Centro de Ensino Superior de Conselheiro Lafaiete,CES-CL,Privada sem fins lucrativos,Faculdade,Sudeste
99,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,Privada sem fins lucrativos,Faculdade,Sudeste
1575,CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ,UNIARAXÁ,Privada sem fins lucrativos,Centro Universitário,Sudeste
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Pública Federal,Universidade,Sudeste
1844,FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA,FISMA,Privada sem fins lucrativos,Faculdade,Sudeste
1623,FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,Privada sem fins lucrativos,Faculdade,Sudeste
4962,CENTRO UNIVERSITÁRIO DE SETE LAGOAS,UNIFEMM,Privada sem fins lucrativos,Centro Universitário,Sudeste
1418,CENTRO UNIVERSITÁRIO TOLEDO,UNITOLEDO,Privada com fins lucrativos,Centro Universitário,Sudeste
1569,FACULDADES INTEGRADAS DE ARARAQUARA,FIAR,Privada sem fins lucrativos,Faculdade,Sudeste
124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Privada sem fins lucrativos,Universidade,Sudeste
125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Privada sem fins lucrativos,Centro Universitário,Sudeste
126,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Privada sem fins lucrativos,Faculdade,Sudeste
5312,Centro Universitário UNIFAAT,UNIFAAT,Privada com fins lucrativos,Centro Universitário,Sudeste
5394,INSTITUTO DE ENSINO SUPERIOR INTEGRADO-IESI,FENORD,Privada sem fins lucrativos,Faculdade,Sudeste
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,Privada sem fins lucrativos,Faculdade,Sudeste
2774,Centro Universitário UNIFAFIBE,FAFIBE,Privada sem fins lucrativos,Centro Universitário,Sudeste
137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Privada sem fins lucrativos,Centro Universitário,Sudeste
138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Privada sem fins lucrativos,Centro Universitário,Sudeste
22116,Faculdade de Miguel Pereira,FAMIPE,Privada sem fins lucrativos,Faculdade,Sudeste
22917,FACULDADE DE CIÊNCIAS MÉDICAS DE MARICÁ,,Privada sem fins lucrativos,Faculdade,Sudeste
140,UNIVERSIDADE DE VASSOURAS,,Privada sem fins lucrativos,Universidade,Sudeste
141,FACULDADE DE DIREITO DE VARGINHA - FADIVA,FADIVA,Privada sem fins lucrativos,Faculdade,Sudeste
143,UNIVERSIDADE DE UBERABA,UNIUBE,Privada sem fins lucrativos,Universidade,Sudeste
144,FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,Privada sem fins lucrativos,Faculdade,Nordeste
1129,CENTRO UNIVERSITÁRIO DO NORTE PAULISTA,UNORP,Privada sem fins lucrativos,Centro Universitário,Sudeste
150,UNIVERSIDADE DE SOROCABA,UNISO,Privada sem fins lucrativos,Universidade,Sudeste
2129,ESCOLA DE ECONOMIA DE SÃO PAULO,EESP,Privada sem fins lucrativos,Faculdade,Sudeste
3614,ESCOLA DE CIÊNCIAS SOCIAIS,,Privada sem fins lucrativos,Faculdade,Sudeste
2591,EPGE Escola Brasileira de Economia e Finanças,FGV EPGE,Privada sem fins lucrativos,Faculdade,Sudeste
1851,ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS,EBAPE,Privada sem fins lucrativos,Faculdade,Sudeste
13695,ESCOLA DE MATEMÁTICA APLICADA,EMAp-FGV,Privada sem fins lucrativos,Faculdade,Sudeste
21952,FGV / Escola de Relações Internacionais,FGV/RI,Privada sem fins lucrativos,Faculdade,Sudeste
151,ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO,FGV-EAESP,Privada sem fins lucrativos,Faculdade,Sudeste
2128,Escola de Direito de São Paulo - FGV DIREITO SP,FGV DIREITO SP,Privada sem fins lucrativos,Faculdade,Sudeste
2126,ESCOLA DE DIREITO DO RIO DE JANEIRO,DIREITO RIO,Privada sem fins lucrativos,Faculdade,Sudeste
1363,FACULDADE VISCONDE DE CAIRÚ,FAVIC,Privada sem fins lucrativos,Faculdade,Nordeste
152,FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,Privada sem fins lucrativos,Faculdade,Nordeste
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Pública Estadual,Universidade,Sudeste
1557,UNIVERSIDADE FUMEC,FUMEC,Privada sem fins lucrativos,Universidade,Sudeste
158,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Privada sem fins lucrativos,Centro Universitário,Sudeste
159,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU,FAFICA,Privada sem fins lucrativos,Faculdade,Nordeste
160,FACULDADE FRASSINETTI DO RECIFE,FAFIRE,Privada sem fins lucrativos,Faculdade,Nordeste
162,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,Privada sem fins lucrativos,Centro Universitário,Sudeste
862,FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE,FESCG,Privada com fins lucrativos,Faculdade,Centro-Oeste
1486,FACULDADE ESTÁCIO DE SÁ DE VITÓRIA,FESV,Privada com fins lucrativos,Faculdade,Sudeste
1496,FACULDADE ESTÁCIO DE SÁ DE VILA VELHA,FESVV,Privada com fins lucrativos,Faculdade,Sudeste
1509,Centro Universitário Estácio de Belo Horizonte - Estácio BH,ESTÁCIO BH,Privada com fins lucrativos,Centro Universitário,Sudeste
